,asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,unit_price,unit_count,product_availability,coupon_text
12,B0B6GLQJMV,Ring Indoor Cam (newest model) | Home or business security in 1080p HD video | White,$59.99,,USD,4.7,21408,https://www.amazon.com/dp/B0B6GLQJMV,https://m.media-amazon.com/images/I/51keHnu-7YL._AC_UY654_FMwebp_QL65_.jpg,3,$44.99,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",True,,,,
13,B0BFC7WQ6R,"All-new Amazon Echo Spot (2024 release), Smart alarm clock with vibrant sound + Alexa, no visual ads, Black",$79.99,,USD,4.6,11378,https://www.amazon.com/dp/B0BFC7WQ6R,https://m.media-amazon.com/images/I/61TuF2ElKgL._AC_UY654_FMwebp_QL65_.jpg,1,$79.99,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",True,,,,
14,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free &amp; live TV without cable or satellite.",$59.99,,USD,4.6,35593,https://www.amazon.com/dp/B0BP9SNVH9,https://m.media-amazon.com/images/I/41P0qtzxWSL._AC_UY654_FMwebp_QL65_.jpg,1,$59.99,False,False,True,True,10K+ bought in past month,"FREE delivery Wed, Oct 23 Or fastest delivery Sat, Oct 19",False,,,,
15,B0B1N5HW22,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 1 camera system",$99.99,,USD,4.2,21317,https://www.amazon.com/dp/B0B1N5HW22,https://m.media-amazon.com/images/I/41hbmiP+77L._AC_UY654_FMwebp_QL65_.jpg,1,$99.99,True,False,True,True,10K+ bought in past month,"FREE delivery Wed, Oct 23 Or fastest delivery Mon, Oct 21",False,,,,
16,B0DG11DGXC,2-Year Protection Plan for Kindle,$36.99,,USD,,0,https://www.amazon.com/dp/B0DG11DGXC,https://m.media-amazon.com/images/I/61pr8jEqv6L._AC_UY654_FMwebp_QL65_.jpg,1,$36.99,False,False,False,False,200+ bought in past month,"FREE delivery Nov 4 - 6 This item will be released on October 30, 2024.",False,,,,
17,B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free &amp; live TV, Alexa Voice Remote with TV controls",$39.99,,USD,4.7,499123,https://www.amazon.com/dp/B08C1W5N87,https://m.media-amazon.com/images/I/51TjJOTfslL._AC_UY654_FMwebp_QL65_.jpg,1,$39.99,False,False,True,True,10K+ bought in past month,"FREE delivery Wed, Oct 23 Or fastest delivery Fri, Oct 18",False,,,,
18,B0CX4XSY3X,"Amazon Kindle Case, Thin and Lightweight, Foldable Protective Cover - Fabric",$31.99,,USD,4.7,3022,https://www.amazon.com/dp/B0CX4XSY3X,https://m.media-amazon.com/images/I/711+7nOVHnL._AC_UY654_FMwebp_QL65_.jpg,4,$30.39,False,False,True,False,100+ bought in past month,"FREE delivery Mon, Oct 21 on $35 of items shipped by AmazonOr fastest delivery Fri, Oct 18",False,,,,
19,B0D693NPQJ,"All New, Antiglare Screen Protector (2 Pack), for Amazon Kindle Paperwhite (2024 Releases) and Kindle Colorsoft (2024 Release)",$16.99,,USD,,0,https://www.amazon.com/dp/B0D693NPQJ,https://m.media-amazon.com/images/I/31D0KvAUUHL._AC_UY654_FMwebp_QL65_.jpg,1,$16.99,False,False,True,False,,"FREE delivery Fri, Oct 25 on $35 of items shipped by AmazonOr fastest delivery Tue, Oct 22",False,,,,
20,B09ZXLRRHY,"Amazon Echo Pop | Alexa fits in anywhere: bedroom, living room, bathroom, office, and small spaces | Glacier White",$39.99,,USD,4.7,66537,https://www.amazon.com/dp/B09ZXLRRHY,https://m.media-amazon.com/images/I/71NiE-BNlFL._AC_UY654_FMwebp_QL65_.jpg,1,$39.99,False,False,True,True,10K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Sat, Oct 19",True,,,,
21,B0C5QRZ47P,"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",$99.99,,USD,4.6,70715,https://www.amazon.com/dp/B0C5QRZ47P,https://m.media-amazon.com/images/I/41EMzkDF2KL._AC_UY654_FMwebp_QL65_.jpg,3,$71.24,False,False,True,True,10K+ bought in past month,"FREE delivery Mon, Oct 21 Or fastest delivery Fri, Oct 18",True,,,,
22,B0BWWZXWPL,"Blink Mini 2 — Plug-in smart security camera, HD night view in color, built-in spotlight, two-way audio, motion detection, Works with Alexa (White)",$39.99,,USD,4.4,3028,https://www.amazon.com/dp/B0BWWZXWPL,https://m.media-amazon.com/images/I/31tp0vzZwRL._AC_UY654_FMwebp_QL65_.jpg,2,$35.99,False,False,True,True,10K+ bought in past month,"FREE delivery Tue, Oct 22 Or fastest delivery Sat, Oct 19",True,,,,
23,B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",$59.99,,USD,4.2,150673,https://www.amazon.com/dp/B08SG2MS3V,https://m.media-amazon.com/images/I/41te-uzWxDL._AC_UY654_FMwebp_QL65_.jpg,2,$24.14,True,False,True,True,10K+ bought in past month,"FREE delivery Wed, Oct 23 Or fastest delivery Sat, Oct 19",True,,,,
