,asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_availability
43,B089DR29T6,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities",24.99,,4.7,564736,1,24.99,False,False,True,True,10K+ bought in past month,False,
44,B096WJFX8M,"Amazon Fire 7 tablet (newest model) 7” display, read and watch, under $80 with 10-hour battery life, 32 GB, Black",49.99,79.99,4.4,17587,1,49.99,True,False,True,True,10K+ bought in past month,True,
45,B076JKHDQT,Ring Rechargeable Quick Release Battery Pack,34.99,,4.7,125926,5,27.64,False,False,True,False,10K+ bought in past month,False,
46,B0CVDN4QS6,"New Amazon Fire HD 8 tablet, 8” HD Display, 3GB memory, 32GB, designed for portable entertainment, Black, (2024 release)",99.99,,4,33,1,99.99,False,False,True,True,7K+ bought in past month,False,
47,B0CNVBS5JN,"New Amazon Kindle Kids (16 GB) - If it breaks, we will replace it, includes ad-free books and cover, with glare-free display, faster page turns - Ocean Explorer",129.99,,,0,1,129.99,False,False,True,False,,False,
48,B09ZLTMWWH,INSIGNIA 32-inch Class F20 Series Smart HD 720p Fire TV with Alexa Voice Remote (NS-32F201NA23),79.99,129.99,4.5,23100,1,79.99,True,False,False,False,10K+ bought in past month,False,
49,B0BTDYTRP4,"Certified Refurbished Ring Indoor Cam (2nd Gen) | latest generation | 1080p HD Video &amp; Color Night Vision, Two-Way Talk, and Manual Audio &amp; Video Privacy Cover | White",29.99,49.99,4.6,537,1,29.99,False,False,True,False,500+ bought in past month,True,
50,B07X6C9RMF,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (White)",29.99,,4.4,292880,1,29.99,False,False,True,True,10K+ bought in past month,True,
51,B0D2FBN1W8,"New Amazon Kindle Scribe Premium Pen, Sleek Stylus Design with Improved Eraser - Tungsten",79.99,,,0,1,79.99,False,False,True,False,Also available in Metallic Jade,False,
52,B08JHG867P,Blink Subscription Plus Plan with yearly auto-renewal,100.0,,4.4,230723,1,100.0,False,False,False,False,($100.00$100.00/year),False,
53,B0CNY22DJP,2-Year Protection Plan for Kindle,16.99,,,0,1,16.99,False,False,False,False,,False,
54,B091G4YP57,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",29.99,,4.6,71788,1,29.99,False,False,True,True,10K+ bought in past month,False,
55,B0D4FCG9MX,"Amazon Signage Stick - digital signage media player - quad-core SoC, 4K video streaming and playback, WiFi 6E",99.99,,3.5,3,1,99.99,False,False,True,False,100+ bought in past month,False,
56,B08F6GPQQ7,"Ring Floodlight Cam Wired Plus with motion-activated 1080p HD video, White (2021 release)",199.99,,4.7,37185,3,127.83,False,False,True,True,10K+ bought in past month,True,
57,B0B1VQ1ZQY,"Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray",149.99,229.99,4.4,10086,1,149.99,False,False,True,True,10K+ bought in past month,False,
58,B09JZ5BG26,"Ring Spotlight Cam Plus, Battery | Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",169.99,,4.5,13606,3,119.31,False,False,True,True,10K+ bought in past month,True,
